project_id,project_type,terrain,planned_days,planned_cost,regulatory_risk,season,vendor,vendor_rating,market_condition,actual_days,actual_cost,cost_overrun_pct,time_overrun_pct,cost_overrun,time_overrun
P00001,substation,urban,192,50000000.0,Low,Summer,vendor_11,3.6,Stable,205,54370247.211701244,0.08740494423402488,0.06770833333333333,0,0
P00002,overhead_line,urban,123,10000000.0,Low,Monsoon,vendor_1,3.3,Stable,136,9865603.711831894,-0.013439628816810623,0.10569105691056911,0,1
P00003,substation,plains,209,50000000.0,Low,Winter,vendor_3,4.6,Stable,200,46948033.450816385,-0.06103933098367229,-0.0430622009569378,0,0
P00004,substation,plains,202,50000000.0,Low,Winter,vendor_12,3.7,Stable,216,52958066.950808555,0.0591613390161711,0.06930693069306931,0,0
P00005,substation,hilly,153,50000000.0,High,Winter,vendor_2,3.5,Volatile,182,63674371.10710224,0.27348742214204474,0.1895424836601307,1,1
P00006,overhead_line,urban,83,10000000.0,Medium,Winter,vendor_15,4.6,Stable,78,9224361.959605396,-0.07756380403946042,-0.060240963855421686,0,0
P00007,overhead_line,plains,131,10000000.0,Medium,Winter,vendor_5,4.8,Stable,154,11173277.91961607,0.11732779196160696,0.17557251908396945,1,1
P00008,substation,plains,203,50000000.0,Medium,Winter,vendor_12,4.1,Volatile,210,54250921.34599667,0.08501842691993342,0.034482758620689655,0,0
P00009,overhead_line,hilly,119,10000000.0,Low,Winter,vendor_10,3.6,Stable,134,11429606.988529988,0.14296069885299875,0.12605042016806722,1,1
P00010,overhead_line,plains,99,10000000.0,Medium,Winter,vendor_4,4.9,Stable,106,10270160.670083726,0.02701606700837258,0.0707070707070707,0,0
P00011,substation,plains,150,50000000.0,Low,Monsoon,vendor_7,4.8,Stable,161,46978319.13469938,-0.06043361730601236,0.07333333333333333,0,0
P00012,substation,hilly,159,50000000.0,Low,Winter,vendor_10,3.3,Volatile,179,61218980.981882796,0.2243796196376559,0.12578616352201258,1,1
P00013,substation,urban,141,50000000.0,Low,Summer,vendor_17,4.9,Stable,130,47936782.139267795,-0.0412643572146441,-0.07801418439716312,0,0
P00014,overhead_line,hilly,91,10000000.0,Low,Winter,vendor_4,2.7,Stable,95,10682757.086631238,0.06827570866312385,0.04395604395604396,0,0
P00015,underground_cable,plains,160,20000000.0,Low,Winter,vendor_16,2.6,Stable,176,22074319.331811957,0.10371596659059786,0.1,1,0
P00016,substation,hilly,172,50000000.0,Low,Winter,vendor_7,4.8,Stable,160,47030327.28297203,-0.05939345434055939,-0.06976744186046512,0,0
P00017,overhead_line,forest,147,10000000.0,Low,Summer,vendor_12,3.9,Volatile,162,12710541.955761828,0.27105419557618277,0.10204081632653061,1,1
P00018,overhead_line,urban,98,10000000.0,Low,Monsoon,vendor_20,2.7,Stable,106,10769548.195280353,0.07695481952803526,0.08163265306122448,0,0
P00019,overhead_line,hilly,134,10000000.0,Low,Summer,vendor_20,3.4,Volatile,130,10830153.738594351,0.08301537385943514,-0.029850746268656716,0,0
P00020,overhead_line,hilly,82,10000000.0,Low,Winter,vendor_6,3.5,Volatile,84,11784390.54643431,0.17843905464343093,0.024390243902439025,1,0
P00021,overhead_line,plains,132,10000000.0,Low,Summer,vendor_17,2.6,Volatile,133,11377701.306820204,0.13777013068202046,0.007575757575757576,1,0
P00022,overhead_line,urban,113,10000000.0,Low,Winter,vendor_3,5.0,Stable,103,9051447.567316186,-0.09485524326838143,-0.08849557522123894,0,0
P00023,overhead_line,plains,141,10000000.0,High,Summer,vendor_18,4.0,Volatile,138,11197151.109781843,0.11971511097818427,-0.02127659574468085,1,0
P00024,overhead_line,hilly,121,10000000.0,Medium,Summer,vendor_10,4.5,Volatile,135,11877843.304737356,0.18778433047373555,0.11570247933884298,1,1
P00025,overhead_line,forest,146,10000000.0,Medium,Monsoon,vendor_15,3.4,Stable,185,11399043.275497844,0.13990432754978444,0.2671232876712329,1,1
P00026,substation,hilly,142,50000000.0,Low,Summer,vendor_6,3.3,Stable,139,50511505.66647735,0.010230113329547048,-0.02112676056338028,0,0
P00027,underground_cable,plains,142,20000000.0,Low,Winter,vendor_8,4.3,Volatile,143,22730876.62791969,0.13654383139598444,0.007042253521126761,1,0
P00028,substation,plains,167,50000000.0,Low,Summer,vendor_9,4.2,Stable,152,46113213.29640248,-0.07773573407195046,-0.08982035928143713,0,0
P00029,substation,plains,183,50000000.0,Low,Winter,vendor_5,4.0,Stable,187,51834560.487819,0.036691209756380024,0.02185792349726776,0,0
P00030,substation,plains,165,50000000.0,Low,Summer,vendor_14,4.9,Stable,159,49502122.08758186,-0.009957558248362839,-0.03636363636363636,0,0
P00031,substation,plains,171,50000000.0,High,Monsoon,vendor_20,3.4,Stable,186,54363346.63480914,0.08726693269618273,0.08771929824561403,0,0
P00032,substation,hilly,189,50000000.0,Low,Winter,vendor_20,3.9,Stable,211,54858615.37294144,0.09717230745882884,0.1164021164021164,0,1
P00033,underground_cable,plains,155,20000000.0,Low,Summer,vendor_10,2.6,Volatile,157,22666996.04244687,0.1333498021223435,0.012903225806451613,1,0
P00034,overhead_line,urban,106,10000000.0,Medium,Monsoon,vendor_4,2.9,Volatile,115,10572736.472877298,0.057273647287729754,0.08490566037735849,0,0
P00035,overhead_line,plains,151,10000000.0,Medium,Summer,vendor_17,3.8,Stable,149,9966060.891978623,-0.0033939108021376653,-0.013245033112582781,0,0
P00036,substation,urban,174,50000000.0,Medium,Summer,vendor_14,4.2,Stable,183,54674327.56096791,0.09348655121935814,0.05172413793103448,0,0
P00037,substation,urban,173,50000000.0,High,Monsoon,vendor_14,3.9,Stable,240,61670360.3277759,0.23340720655551805,0.3872832369942196,1,1
P00038,substation,plains,207,50000000.0,Medium,Summer,vendor_18,4.7,Stable,206,50122736.40297429,0.0024547280594858526,-0.004830917874396135,0,0
P00039,underground_cable,urban,155,20000000.0,Low,Summer,vendor_19,4.4,Stable,147,19333852.640717894,-0.03330736796410531,-0.05161290322580645,0,0
P00040,overhead_line,plains,119,10000000.0,Low,Summer,vendor_9,4.4,Stable,110,9317962.796752812,-0.06820372032471876,-0.07563025210084033,0,0
P00041,substation,hilly,207,50000000.0,High,Winter,vendor_15,4.7,Stable,294,72005024.91983154,0.4401004983966309,0.42028985507246375,1,1
P00042,underground_cable,hilly,134,20000000.0,Medium,Winter,vendor_1,4.1,Stable,170,24147088.984961268,0.20735444924806337,0.26865671641791045,1,1
P00043,substation,plains,137,50000000.0,Low,Summer,vendor_9,3.1,Stable,136,50358692.40282554,0.007173848056510836,-0.0072992700729927005,0,0
P00044,overhead_line,plains,87,10000000.0,Low,Summer,vendor_6,4.9,Volatile,84,10601298.339082224,0.06012983390822243,-0.034482758620689655,0,0
P00045,underground_cable,plains,148,20000000.0,Medium,Monsoon,vendor_17,3.4,Volatile,150,21511735.143655512,0.07558675718277562,0.013513513513513514,0,0
P00046,substation,plains,182,50000000.0,Low,Summer,vendor_17,3.8,Volatile,197,61164409.43484509,0.22328818869690178,0.08241758241758242,1,0
P00047,overhead_line,plains,105,10000000.0,Low,Summer,vendor_4,3.1,Stable,104,10041126.330641594,0.004112633064159378,-0.009523809523809525,0,0
P00048,overhead_line,hilly,113,10000000.0,Medium,Winter,vendor_12,4.5,Volatile,111,11328915.059341447,0.13289150593414475,-0.017699115044247787,1,0
P00049,overhead_line,plains,131,10000000.0,Medium,Monsoon,vendor_2,3.4,Stable,164,11040826.597367654,0.10408265973676536,0.25190839694656486,1,1
P00050,overhead_line,forest,134,10000000.0,Low,Winter,vendor_19,4.2,Volatile,136,11207952.355879271,0.12079523558792714,0.014925373134328358,1,0
P00051,substation,plains,149,50000000.0,Low,Winter,vendor_11,2.7,Stable,167,55509232.377471596,0.11018464754943191,0.12080536912751678,1,1
P00052,substation,urban,189,50000000.0,Low,Winter,vendor_18,4.0,Stable,178,46617386.7814616,-0.06765226437076807,-0.0582010582010582,0,0
P00053,substation,hilly,137,50000000.0,Medium,Summer,vendor_13,3.3,Stable,147,54381436.41926845,0.08762872838536903,0.072992700729927,0,0
P00054,substation,plains,219,50000000.0,Low,Monsoon,vendor_8,4.4,Stable,270,54592248.023133926,0.09184496046267852,0.2328767123287671,0,1
P00055,substation,plains,197,50000000.0,Medium,Winter,vendor_15,2.6,Volatile,204,53589635.95019573,0.0717927190039146,0.03553299492385787,0,0
P00056,overhead_line,plains,115,10000000.0,Low,Monsoon,vendor_12,3.1,Stable,133,10520357.548069445,0.05203575480694454,0.1565217391304348,0,1
P00057,overhead_line,forest,161,10000000.0,Low,Summer,vendor_5,3.4,Stable,174,10860078.379245281,0.08600783792452812,0.08074534161490683,0,0
P00058,substation,plains,191,50000000.0,Low,Summer,vendor_11,2.7,Volatile,206,59785086.86212053,0.19570173724241063,0.07853403141361257,1,0
P00059,substation,urban,215,50000000.0,Medium,Winter,vendor_11,3.9,Stable,228,53014424.16508457,0.06028848330169141,0.06046511627906977,0,0
P00060,overhead_line,hilly,99,10000000.0,Low,Summer,vendor_14,3.2,Stable,114,11586786.011338424,0.15867860113384238,0.15151515151515152,1,1
P00061,substation,plains,167,50000000.0,Medium,Winter,vendor_11,3.7,Stable,190,55890929.40260466,0.11781858805209323,0.1377245508982036,1,1
P00062,underground_cable,urban,180,20000000.0,Low,Summer,vendor_1,4.4,Stable,177,20046295.707185213,0.002314785359260626,-0.016666666666666666,0,0
P00063,substation,plains,187,50000000.0,Medium,Winter,vendor_4,3.3,Stable,199,54062886.86666539,0.08125773733330786,0.06417112299465241,0,0
P00064,underground_cable,hilly,142,20000000.0,Low,Winter,vendor_1,3.1,Volatile,154,23523451.392629273,0.17617256963146366,0.08450704225352113,1,0
P00065,overhead_line,plains,123,10000000.0,Low,Summer,vendor_15,4.7,Stable,121,10058359.96654005,0.0058359966540049765,-0.016260162601626018,0,0
P00066,overhead_line,plains,140,10000000.0,Low,Winter,vendor_5,4.7,Stable,135,9509680.712689165,-0.049031928731083495,-0.03571428571428571,0,0
P00067,overhead_line,plains,135,10000000.0,Medium,Winter,vendor_19,3.9,Volatile,137,10172846.981013104,0.017284698101310433,0.014814814814814815,0,0
P00068,overhead_line,plains,106,10000000.0,Medium,Monsoon,vendor_8,3.8,Stable,104,10174676.333156278,0.017467633315627836,-0.018867924528301886,0,0
P00069,overhead_line,urban,104,10000000.0,Low,Winter,vendor_19,4.3,Volatile,109,10582633.098730149,0.058263309873014875,0.04807692307692308,0,0
P00070,underground_cable,forest,147,20000000.0,Low,Monsoon,vendor_19,4.0,Stable,156,18551705.36300104,-0.07241473184994794,0.061224489795918366,0,0
P00071,overhead_line,urban,94,10000000.0,Medium,Winter,vendor_11,2.6,Volatile,95,10297367.234285887,0.029736723428588734,0.010638297872340425,0,0
P00072,substation,plains,185,50000000.0,Medium,Summer,vendor_18,4.2,Stable,208,56002873.39568399,0.12005746791367977,0.12432432432432433,1,1
P00073,substation,urban,231,50000000.0,Low,Winter,vendor_19,3.4,Stable,238,52203382.970650434,0.04406765941300869,0.030303030303030304,0,0
P00074,overhead_line,plains,112,10000000.0,Medium,Winter,vendor_17,3.5,Stable,116,10371968.138021765,0.03719681380217653,0.03571428571428571,0,0
P00075,underground_cable,plains,166,20000000.0,Low,Summer,vendor_18,4.7,Stable,146,17788293.305685736,-0.11058533471571319,-0.12048192771084337,0,0
P00076,overhead_line,hilly,107,10000000.0,Low,Winter,vendor_19,4.1,Stable,110,10214023.612860836,0.02140236128608361,0.028037383177570093,0,0
P00077,underground_cable,forest,182,20000000.0,Low,Summer,vendor_16,2.7,Stable,182,20454148.60639753,0.02270743031987641,0.0,0,0
P00078,overhead_line,urban,137,10000000.0,Medium,Summer,vendor_2,3.4,Stable,162,11634147.622978654,0.16341476229786536,0.18248175182481752,1,1
P00079,substation,urban,172,50000000.0,Low,Monsoon,vendor_17,3.7,Stable,174,50965431.17261482,0.019308623452296406,0.011627906976744186,0,0
P00080,overhead_line,plains,110,10000000.0,Low,Monsoon,vendor_2,3.2,Stable,122,9773425.172456449,-0.02265748275435511,0.10909090909090909,0,1
P00081,overhead_line,hilly,110,10000000.0,Low,Summer,vendor_6,4.3,Stable,110,10433044.970028445,0.043304497002844514,0.0,0,0
P00082,overhead_line,plains,115,10000000.0,Medium,Winter,vendor_2,2.9,Volatile,112,10819490.662741117,0.08194906627411172,-0.02608695652173913,0,0
P00083,substation,plains,206,50000000.0,Low,Winter,vendor_2,3.5,Volatile,200,48376499.18342164,-0.03247001633156717,-0.02912621359223301,0,0
P00084,overhead_line,plains,117,10000000.0,Medium,Monsoon,vendor_13,2.9,Stable,137,10098498.73447514,0.009849873447513953,0.17094017094017094,0,1
P00085,overhead_line,hilly,104,10000000.0,Low,Summer,vendor_19,3.2,Stable,105,10180942.907774374,0.018094290777437388,0.009615384615384616,0,0
P00086,overhead_line,urban,115,10000000.0,Medium,Monsoon,vendor_5,4.2,Volatile,132,11053729.989936493,0.10537299899364934,0.14782608695652175,1,1
P00087,substation,hilly,158,50000000.0,High,Monsoon,vendor_18,4.4,Stable,195,55069628.36563321,0.10139256731266424,0.23417721518987342,1,1
P00088,substation,hilly,205,50000000.0,Low,Monsoon,vendor_11,3.3,Volatile,255,60061041.29449904,0.2012208258899808,0.24390243902439024,1,1
P00089,substation,hilly,185,50000000.0,Low,Summer,vendor_10,5.0,Stable,179,49754230.754228234,-0.004915384915435314,-0.032432432432432434,0,0
P00090,substation,plains,176,50000000.0,Low,Summer,vendor_12,4.1,Volatile,174,57568389.61701822,0.15136779234036446,-0.011363636363636364,1,0
P00091,overhead_line,forest,111,10000000.0,Low,Summer,vendor_4,4.3,Stable,104,9625108.450355478,-0.03748915496445224,-0.06306306306306306,0,0
P00092,substation,urban,162,50000000.0,Medium,Summer,vendor_6,5.0,Volatile,158,52982929.32201923,0.059658586440384534,-0.024691358024691357,0,0
P00093,overhead_line,forest,132,10000000.0,Low,Summer,vendor_9,3.0,Volatile,131,11708083.103861379,0.17080831038613786,-0.007575757575757576,1,0
P00094,overhead_line,plains,108,10000000.0,Medium,Summer,vendor_15,2.6,Volatile,119,10800247.329382297,0.08002473293822966,0.10185185185185185,0,1
P00095,substation,plains,178,50000000.0,High,Winter,vendor_2,3.5,Stable,185,52005266.26750703,0.04010532535014063,0.03932584269662921,0,0
P00096,substation,plains,215,50000000.0,Medium,Summer,vendor_17,2.7,Volatile,232,61625863.35892381,0.23251726717847615,0.07906976744186046,1,0
P00097,overhead_line,hilly,128,10000000.0,Low,Monsoon,vendor_1,2.9,Stable,156,10732793.558793496,0.07327935587934964,0.21875,0,1
P00098,underground_cable,urban,161,20000000.0,Low,Monsoon,vendor_10,2.8,Stable,197,21825177.629476033,0.09125888147380165,0.2236024844720497,0,1
P00099,overhead_line,plains,136,10000000.0,High,Winter,vendor_2,4.1,Stable,154,10658282.636527838,0.06582826365278382,0.1323529411764706,0,1
P00100,overhead_line,urban,111,10000000.0,Low,Winter,vendor_5,2.8,Volatile,118,11174966.082999067,0.11749660829990674,0.06306306306306306,1,0
P00101,overhead_line,plains,83,10000000.0,Medium,Summer,vendor_18,5.0,Stable,85,10284572.097883727,0.02845720978837274,0.024096385542168676,0,0
P00102,substation,plains,214,50000000.0,Medium,Summer,vendor_19,3.1,Stable,226,53974353.97781539,0.0794870795563078,0.056074766355140186,0,0
P00103,substation,urban,205,50000000.0,Low,Monsoon,vendor_15,4.2,Stable,198,49381670.76772279,-0.012366584645544142,-0.03414634146341464,0,0
P00104,underground_cable,plains,127,20000000.0,Medium,Summer,vendor_5,5.0,Stable,134,20225879.824920792,0.011293991246039607,0.05511811023622047,0,0
P00105,substation,hilly,199,50000000.0,Low,Monsoon,vendor_14,3.0,Stable,230,51213853.63072237,0.024277072614447476,0.15577889447236182,0,1
P00106,overhead_line,plains,120,10000000.0,High,Monsoon,vendor_20,4.5,Stable,128,9610038.555849858,-0.038996144415014235,0.06666666666666667,0,0
P00107,substation,plains,182,50000000.0,Low,Winter,vendor_11,5.0,Stable,166,45270899.60613377,-0.09458200787732467,-0.08791208791208792,0,0
P00108,underground_cable,forest,182,20000000.0,Medium,Winter,vendor_6,4.8,Volatile,183,21558047.84222129,0.07790239211106449,0.005494505494505495,0,0
P00109,overhead_line,plains,143,10000000.0,High,Summer,vendor_1,2.7,Stable,143,10253013.43132964,0.025301343132963963,0.0,0,0
P00110,substation,hilly,165,50000000.0,Medium,Monsoon,vendor_2,2.6,Stable,230,61796537.1882107,0.23593074376421408,0.3939393939393939,1,1
P00111,overhead_line,hilly,127,10000000.0,High,Winter,vendor_20,3.3,Volatile,130,11122784.622356908,0.11227846223569084,0.023622047244094488,1,0
P00112,overhead_line,plains,139,10000000.0,Medium,Winter,vendor_10,3.6,Volatile,146,12241216.52899282,0.22412165289928204,0.050359712230215826,1,0
P00113,overhead_line,plains,153,10000000.0,Medium,Winter,vendor_19,2.9,Stable,169,10953545.299724808,0.0953545299724808,0.10457516339869281,0,1
P00114,overhead_line,plains,80,10000000.0,Low,Summer,vendor_15,3.1,Stable,89,11172903.261703297,0.11729032617032975,0.1125,1,1
P00115,overhead_line,plains,88,10000000.0,Medium,Winter,vendor_2,4.0,Volatile,106,11639393.939385345,0.16393939393853452,0.20454545454545456,1,1
P00116,overhead_line,forest,89,10000000.0,Low,Winter,vendor_4,4.8,Stable,84,9633467.747092055,-0.03665322529079448,-0.056179775280898875,0,0
P00117,substation,urban,195,50000000.0,Low,Winter,vendor_6,4.1,Stable,165,43166590.58433824,-0.13666818831323518,-0.15384615384615385,0,0
P00118,substation,plains,210,50000000.0,Low,Monsoon,vendor_14,3.3,Stable,272,56888630.898170434,0.13777261796340867,0.29523809523809524,1,1
P00119,underground_cable,plains,124,20000000.0,Medium,Summer,vendor_12,3.7,Volatile,129,22658205.46271096,0.1329102731355481,0.04032258064516129,1,0
P00120,substation,plains,184,50000000.0,Low,Summer,vendor_5,4.8,Stable,178,49514018.79066189,-0.009719624186762274,-0.03260869565217391,0,0
P00121,substation,hilly,198,50000000.0,Low,Winter,vendor_18,3.4,Stable,206,52171186.54177343,0.04342373083546862,0.04040404040404041,0,0
P00122,substation,plains,182,50000000.0,Medium,Summer,vendor_6,4.7,Stable,181,51551290.93202881,0.031025818640576155,-0.005494505494505495,0,0
P00123,overhead_line,urban,111,10000000.0,High,Winter,vendor_1,4.0,Volatile,145,12922642.911490439,0.29226429114904384,0.3063063063063063,1,1
P00124,substation,plains,216,50000000.0,Medium,Summer,vendor_1,3.5,Volatile,248,64413025.92035345,0.288260518407069,0.14814814814814814,1,1
P00125,underground_cable,plains,173,20000000.0,Medium,Winter,vendor_9,3.3,Volatile,171,22198892.48559331,0.10994462427966557,-0.011560693641618497,1,0
